PassengerId	Pclass	Age	Fare
1	3	22	7.25
2	1	38	71.2833
3	3	26	7.925
4	1	35	53.1
5	3	35	8.05
6	3		8.4583
7	1	54	51.8625
8	3	2	21.075
9	3	27	11.1333
10	2	14	30.0708
11	3	4	16.7
12	1	58	26.55
13	3	20	8.05
14	3	39	31.275
15	3	14	7.8542
16	2	55	16
17	3	2	29.125
18	2		13
19	3	31	18
20	3		7.225
21	2	35	26
22	2	34	13
23	3	15	8.0292
24	1	28	35.5
25	3	8	21.075
26	3	38	31.3875
27	3		7.225
28	1	19	263
29	3		7.8792
30	3		7.8958
31	1	40	27.7208
32	1		146.5208
33	3		7.75
34	2	66	10.5
35	1	28	82.1708
36	1	42	52
37	3		7.2292
38	3	21	8.05
39	3	18	18
40	3	14	11.2417
41	3	40	9.475
42	2	27	21
43	3		7.8958
44	2	3	41.5792
45	3	19	7.8792
46	3		8.05
47	3		15.5
48	3		7.75
49	3		21.6792
50	3	18	17.8
51	3	7	39.6875
52	3	21	7.8
53	1	49	76.7292
54	2	29	26
55	1	65	61.9792
56	1		35.5
57	2	21	10.5
58	3	28.5	7.2292
59	2	5	27.75
60	3	11	46.9
61	3	22	7.2292
62	1	38	80
63	1	45	83.475
64	3	4	27.9
65	1		27.7208
66	3		15.2458
67	2	29	10.5
68	3	19	8.1583
69	3	17	7.925
70	3	26	8.6625
71	2	32	10.5
72	3	16	46.9
73	2	21	73.5
74	3	26	14.4542
75	3	32	56.4958
76	3	25	7.65
77	3		7.8958
78	3		8.05
79	2	0.83	29
80	3	30	12.475
81	3	22	9
82	3	29	9.5
83	3		7.7875
84	1	28	47.1
85	2	17	10.5
86	3	33	15.85
87	3	16	34.375
88	3		8.05
89	1	23	263
90	3	24	8.05
91	3	29	8.05
92	3	20	7.8542
93	1	46	61.175
94	3	26	20.575
95	3	59	7.25
96	3		8.05
97	1	71	34.6542
98	1	23	63.3583
99	2	34	23
100	2	34	26
101	3	28	7.8958
102	3		7.8958
103	1	21	77.2875
104	3	33	8.6542
105	3	37	7.925
106	3	28	7.8958
107	3	21	7.65
108	3		7.775
109	3	38	7.8958
110	3		24.15
111	1	47	52
112	3	14.5	14.4542
113	3	22	8.05
114	3	20	9.825
115	3	17	14.4583
116	3	21	7.925
117	3	70.5	7.75
118	2	29	21
119	1	24	247.5208
120	3	2	31.275
121	2	21	73.5
122	3		8.05
123	2	32.5	30.0708
124	2	32.5	13
125	1	54	77.2875
126	3	12	11.2417
127	3		7.75
128	3	24	7.1417
129	3		22.3583
130	3	45	6.975
131	3	33	7.8958
132	3	20	7.05
133	3	47	14.5
134	2	29	26
135	2	25	13
136	2	23	15.0458
137	1	19	26.2833
138	1	37	53.1
139	3	16	9.2167
140	1	24	79.2
141	3		15.2458
142	3	22	7.75
143	3	24	15.85
144	3	19	6.75
145	2	18	11.5
146	2	19	36.75
147	3	27	7.7958
148	3	9	34.375
149	2	36.5	26
150	2	42	13
151	2	51	12.525
152	1	22	66.6
153	3	55.5	8.05
154	3	40.5	14.5
155	3		7.3125
156	1	51	61.3792
157	3	16	7.7333
158	3	30	8.05
159	3		8.6625
160	3		69.55
161	3	44	16.1
162	2	40	15.75
163	3	26	7.775
164	3	17	8.6625
165	3	1	39.6875
166	3	9	20.525
167	1		55
168	3	45	27.9
169	1		25.925
170	3	28	56.4958
171	1	61	33.5
172	3	4	29.125
173	3	1	11.1333
174	3	21	7.925
175	1	56	30.6958
176	3	18	7.8542
177	3		25.4667
178	1	50	28.7125
179	2	30	13
180	3	36	0
181	3		69.55
182	2		15.05
183	3	9	31.3875
184	2	1	39
185	3	4	22.025
186	1		50
187	3		15.5
188	1	45	26.55
189	3	40	15.5
190	3	36	7.8958
191	2	32	13
192	2	19	13
193	3	19	7.8542
194	2	3	26
195	1	44	27.7208
196	1	58	146.5208
197	3		7.75
198	3	42	8.4042
199	3		7.75
200	2	24	13
201	3	28	9.5
202	3		69.55
203	3	34	6.4958
204	3	45.5	7.225
205	3	18	8.05
206	3	2	10.4625
207	3	32	15.85
208	3	26	18.7875
209	3	16	7.75
210	1	40	31
211	3	24	7.05
212	2	35	21
213	3	22	7.25
214	2	30	13
215	3		7.75
216	1	31	113.275
217	3	27	7.925
218	2	42	27
219	1	32	76.2917
220	2	30	10.5
221	3	16	8.05
222	2	27	13
223	3	51	8.05
224	3		7.8958
225	1	38	90
226	3	22	9.35
227	2	19	10.5
228	3	20.5	7.25
229	2	18	13
230	3		25.4667
231	1	35	83.475
232	3	29	7.775
233	2	59	13.5
234	3	5	31.3875
235	2	24	10.5
236	3		7.55
237	2	44	26
238	2	8	26.25
239	2	19	10.5
240	2	33	12.275
241	3		14.4542
242	3		15.5
243	2	29	10.5
244	3	22	7.125
245	3	30	7.225
246	1	44	90
247	3	25	7.775
248	2	24	14.5
249	1	37	52.5542
250	2	54	26
251	3		7.25
252	3	29	10.4625
253	1	62	26.55
254	3	30	16.1
255	3	41	20.2125
256	3	29	15.2458
257	1		79.2
258	1	30	86.5
259	1	35	512.3292
260	2	50	26
261	3		7.75
262	3	3	31.3875
263	1	52	79.65
264	1	40	0
265	3		7.75
266	2	36	10.5
267	3	16	39.6875
268	3	25	7.775
269	1	58	153.4625
270	1	35	135.6333
271	1		31
272	3	25	0
273	2	41	19.5
274	1	37	29.7
275	3		7.75
276	1	63	77.9583
277	3	45	7.75
278	2		0
279	3	7	29.125
280	3	35	20.25
281	3	65	7.75
282	3	28	7.8542
283	3	16	9.5
284	3	19	8.05
285	1		26
286	3	33	8.6625
287	3	30	9.5
288	3	22	7.8958
289	2	42	13
290	3	22	7.75
291	1	26	78.85
292	1	19	91.0792
293	2	36	12.875
294	3	24	8.85
295	3	24	7.8958
296	1		27.7208
297	3	23.5	7.2292
298	1	2	151.55
299	1		30.5
300	1	50	247.5208
301	3		7.75
302	3		23.25
303	3	19	0
304	2		12.35
305	3		8.05
306	1	0.92	151.55
307	1		110.8833
308	1	17	108.9
309	2	30	24
310	1	30	56.9292
311	1	24	83.1583
312	1	18	262.375
313	2	26	26
314	3	28	7.8958
315	2	43	26.25
316	3	26	7.8542
317	2	24	26
318	2	54	14
319	1	31	164.8667
320	1	40	134.5
321	3	22	7.25
322	3	27	7.8958
323	2	30	12.35
